0	丝米 分 零点五
appetite	欲 欲望 胃口 食欲 食色 食色性也
appetites	欲求
appetizer	冷盆 前菜 小菜 开胃菜 拼盘
appetizing	开胃 馋人
applaud	彩
applause	彩 彩声 掌声 采声
apple	宝贝疙瘩 苹果 苹果公司 苹果核 苹果汁 苹果泥 苹果派 苹果电脑 苹果酱 苹果馅饼
appleton	阿普尔顿
appliance	械 用具 电器
applicable	共通 放之四海而皆准
applicant	申请人
application	应用 应用层 应用平台 应用程序 应用程序接口 应用程序编程接口 应用程式 应用程式介面 应用软件 应用软体 报名表 熨法 用场 用途 申请 申请书 申请表 钻劲
applicationspecific	专用集成电路
applied	实用 工艺美术 应用 应用数学 应用文 应用物理 应用科学
appliqu	贴花
applique	补花
appointed	定点 聘任
appointment	任事 任人唯贤 任命 任贤使能 约会 约定
appraisal	考核 褒贬 鉴价 鉴证
appreciating	审美 审美活动
appreciation	生活美学 赏识
appreciative	鉴赏家
apprehension	忧惧 顾忌
apprehensions	顾虑
apprehensive	兢 凛 危惧 心惊 忐忑 忧惧 恇 担惊受怕 焦虑
apprentice	学徒 徒 徒工 徒弟 舞妓 见习生
approach	助跑 态度 拂晓 走板 路子 路数 进路 駾
approachability	亲和力
approaching	临终 傍 垂老 岌岌可危 未来 濒于 濒死 行将结束
appropriate	像话 允宜 分寸 切合 合于时宜 合宜 合时宜 合适 名正言顺 好 妥善 妥实 妥帖 妥当 妥贴 宜 帖 得中 得体 得宜 得当 恰如其分 恰当 拨付 服帖 桴鼓相应 相应 相当 适切 适宜 适度 适当 适量 适销
appropriation	拨款 拨用
approval	允准 批准文号 认可 赞成票
approved	恩准 批件 照发
approximate	大概 概 概数 约数 约略 约略估计 近似解
approximately	上下 内外 大约 大致 左右 来 约 约合 约等于 约莫 较略 近
approximation	模样
apricot	杏 杏仁 杏子 杏树
april	四月 四月份 愚人节
apron	停机坪 围裙 散水 脐
apropos	中肯
apse	拱点
apsis	拱点 近地点
apt	允宜 动不动 够格 容易 恰如其分 蔫儿坏 适切 适时
aptitude	性向 材 资禀 资质
aptly	名副其实
apus	天燕座
aqaba	亚喀巴
aqchi	阿合奇 阿合奇县
aqsiq	国家质量监督检验检疫总局
aqsu	阿克苏市
aqua	王水
aquaculture	水产业 水产养殖 海水养殖
aquaman	水行侠 海王
aquarelle	水彩画
aquarium	养鱼缸 水族箱 水族馆 鱼缸
aquarius	宝瓶 宝瓶座 水瓶座
aquatherapy	水疗
aquatic	水上 水上运动 水产 水产品 水怪 水栖 水生 水草 藻 鲜
aqueous	水性 水相 眼房 眼房水
aquifer	含水层
aquila	天鹰座 杀鸡焉用牛刀
aquiline	鹰钩鼻
ar	增强现实 阿鲁科尔沁 阿鲁科尔沁旗
ara	天坛座
arab	阿拉伯 阿拉伯人 阿拉伯共同市场 阿拉伯国家联盟
araba	阿拉瓦
arabesque	雕花
arabia	亚拉伯 天方
arabian	天方 阿拉伯 阿拉伯人 阿拉伯半岛 阿拉伯海
arabic	阿拉伯 阿拉伯数字 阿拉伯文 阿拉伯语
arabinose	阿拉伯糖
arabis	筷子芥
arable	可耕地 庄稼地 畴 耕地
arachnid	蜘蛛类
arachnids	蛛形纲
arafura	阿拉弗拉海
aragonite	文石
arai	新井 荒井
arakan	若开山脉 阿拉干山脉
aral	咸海 阿拉尔 阿拉尔市
aralia	蓪
aramaic	阿兰文 阿拉米语
arbitrage	套利 套汇
arbitrager	套利者
arbitrarily	信意
arbitrary	乱 任意 擅断 武断 滥漫 独断
arbitration	仲裁 公断
arbor	凉棚 机轴 植树节
arboreal	树栖
arboretum	植物园
arbovirus	节肢介体病毒 虫媒病毒
arc	圆弧 弧 弧光 弧光灯 弧度 弧形 弧线 弧线长 弧长 秒 魁蚶
arcade	投篮机 街机 骑楼
arcadia	阿卡提 阿卡迪亚
arcane	玄虚
arch	拱形 拱桥 拱状 脚心 蓠 蛊 足弓
archaean	太古宙
archaeological	三星堆 半坡村
archaeologist	考古学家 考古家
archaeology	考古 考古学
archaeopteryx	始祖鸟
archaeoraptor	古盗鸟 辽宁古盗鸟
archaeozoic	太古代
archaic	乧 初文 古字 古旧 国政 太岁 巠 弌 弍 弎 栃 烝 稣 鈤 龡
archangel	加百列
archbishop	大主教 总主教
archcriminal	元恶 元恶大憝
archduke	法兰西斯·斐迪南
arched	拱 拱状 拱门 穹形
archenemy	冤家对头 大憝 死对头 死敌
archer	射手 弓箭手 弩兵 韘 韝
archery	射箭
archetype	典型 原型
archimedes	浮力定律 穷竭法 阿基米德
archipelago	列岛 群岛
architect	建筑师 架构师 比例尺 设计师 设计者
architectural	建筑学
architecture	建构 建筑学 架构 结构
architrave	阑头
archive	图谱 宬 档案 档案盒 档案袋 档案馆 箓
archives	案卷
archway	拱道 门洞
arctic	北冰洋 北极圈 北极狐 极北朱顶雀 极北柳莺 白狐
arcturus	大角星
ardabil	阿达比尔
ardent	殷切 殷殷 津津 火热 烈 热乎 热心 热烈
ardisia	矮脚罗伞
ardor	热忱
arduous	吃力不讨好 吃重 浩繁 笨重 繁重 艰苦 艰辛 苦事 苦差 苦战 费力不讨好 辛苦
arduousness	艰巨性
are	公亩 少不了 我也是醉了 没长眼睛 约吗
area	一块 一带 一方 专区 区 区号 区块 区域 区码 吴 唐家山 地亩 地区 地域 地方 城关 域 外场 太液池 带 暴风圈 杂居地区 沿路 灌区 电话区码 美国51区 翼 重灾区 门额 闸口 陷落带 面积 领域
areas	野外
arecaceae	棕榈科
arena	场馆 巨蛋 擂台 球馆 竞技场 舞台
arendal	阿伦达尔
arenga	桄榔
areolar	蜂窝组织
ares	阿瑞斯
argali	盘羊
argand	复数平面
argentina	阿根廷
argnine	精氨酸
argo	天舟座
argon	氩
argosol	淋溶土
argot	切口 唇典 行语 黑话
arguing	归谬法
argument	争论 元 变元 唇舌 实参 实际参数 极角 立论 论争 论点 论调 调 辩论 道理
argumentation	义理 论法
argumentative	好辩 拧巴 杠头 杠精 矫情 铁齿
arguments	言论 说辞
argun	额尔古纳河
argus	阿耳戈斯
arhat	罗汉 阿罗汉
aria	咏叹调 唱段 唱腔
ariane	亚利安娜 阿丽亚娜
arid	干旱 干燥
aridisol	干旱土
aries	牡羊座 白羊 白羊座
aril	假种皮
arirang	阿里郎
arisaka	三八大盖
arising	油然而生
arista	笀 芒
aristocracy	王侯 王侯公卿 贵族 贵族社会 鼎族
aristocrat	王公 贵族
aristocratic	世家 矜贵 贵族化
aristolochiaceae	马兜铃科
aristolochic	马兜铃酸
aristophanes	阿里斯托芬
aristotle	亚里士多德 亚里斯多德 奥纳西斯
arithmetic	等差数列 等差级数 算术 算术平均 算术平均数 算术式 算术级数 算法
arizona	亚利桑那 亚利桑那州
ark	方舟 约柜
arkansas	阿肯色 阿肯色州
arkhangelsk	阿尔汉格尔斯克州
arlington	阿灵顿国家公墓
arm	交臂 手臂 掰手腕 掰腕子 比腕力 肱 胳膊 胳臂 腕 膀子 膀臂 臂 臂力 臂展 臂膀 臂膊
armadillo	犰狳
armageddon	哈米吉多顿
armament	军备竞赛 扩军
armaments	军备
armani	阿玛尼
armband	胳臂箍儿 臂章 臂纱 袖标 袖章 袖箍
armchair	单人沙发 扶手椅 空头 纸上谈兵
armed	人武 全副武装 兵力 军队 叛乱 御敌 戈船 戎马 持枪抢劫 持械 械斗 武装 武装冲突 武装分子 武装力量 武装部队 武警 武警战士 激进武装 羽林 荷枪实弹 部队 镖客
armenia	亚美尼亚
armillariella	亮菌
armillarisin	亮菌甲素
armillary	浑天仪
armistice	休兵 休战 停战 停战日
armlet	臂章 钏
armoire	衣柜
armor	介 介胄 函人 护甲 甲 甲胄 甲铠 盔甲 破甲弹 衣甲 铁甲 铠 铠甲
armored	装甲车 装甲车辆 运钞车 铁甲船 铁甲车 铁马 铁骑
armpit	夹肢窝 暗疔 胳 胳肢窝 腋 腋下 腋毛 腋窝 腋臭
armrest	扶手
arms	兵 兵器 兵戈 兵戈扰攘 兵戎 军售 军备 军备竞赛 军火 军火交易 军火公司 勾肩搭背 双臂 干戈 投鞭断流 武器 武装 猿臂 铁
army	三军 元军 兵团 兵痞 兵站 军 军事训练 军公教 军势 军政 军旅 军粮 军绿 军营 军衔 刍粮 勤务兵 勤务员 十字军 参谋总长 大军 师 建军节 征马 戎 戎马生涯 水陆师 督标 粘虫 粮草 粮饷 糺 练兵 营垒 赵军 远征军 逃兵 部队 陆军 陆海空三军 陆海空军 集团军
armycivilian	军民
armyworm	虸蚄 黏虫
arnebia	紫草
arnold	史瓦辛格 施瓦辛格 阿诺 阿诺·施瓦辛格 阿诺德·施瓦辛格
aroma	芳香 酒味 香气 香熏 馥
aromatherapy	芳疗 芳香疗法 香熏疗法 香薰
aromatic	棻 芗 芳烃 芳香 芳香烃 芳香环 茝 香 香草 香醋
around	八十天环游地球 前后 在望 块儿八毛 日夜 明末清初 环城 环球 约莫
arousal	淫水
arouse	惹起
aroused	动情 心动 激奋
arousing	打动
arp	地址解析协议
arpeggio	分散和弦 琶音
arranged	包办婚姻 娃娃亲 相亲
arrangement	体统 层次 布局 条理 构型 眉目 编曲
arrangements	事宜 安排
arras	阿拉斯
array	数组 矩阵 行列 阵列
arrhythmia	心律不整 心律不齐 心律失常
arris	棱
arrival	到来 到达大厅 降生
arriving	来得早不如来得巧
arrogance	妄自尊大 架子 气焰 自傲 骄傲 骄气
arrogant	倨 倨傲 做大 傲 傲慢 傲慢无礼 嚣张 嚣张跋扈 大样 大爷 孤高 幠 憍 昂首天外 桀骜不驯 气势凌人 牛屄 狂妄 狂妄自大 狂恣 盛气凌人 目空一切 目空四海 神气活现 自命不凡 自大 自视清高 自视甚高 自高自大 訑 足高气强 足高气扬 趾高气扬 颐指气使 颐指风使 驾云 骄 骄横 骄纵 高傲
arrogation	越权
arrow	令箭 契箭 矢 矰 筈 箭 箭头 箭头键 箭杆 箭矢 菆 镝
arrowhead	慈姑 砮 箭头 箭镞 茨菰 镞
arrowquiver	掤
arrowroot	葛粉
ars	吾生也有涯，而知也无涯 学海无涯 文江学海 道山学海
arsenal	军火库 武库 阿森纳
arsenic	白砒 砒 砒霜 砷 砷中毒 礜 礜石 礵 雌黄
arsenopiryte	礜石
arsenous	亚砷 亚砷酸
arsine	砷化氢 胂
arsonist	纵火犯
arsphenamine	砷凡纳明 砷制剂 胂凡纳明
art	兵法 功夫 医术 医道 埶 技艺 文艺作品 料理 权术 画展 画廊 粗劣作品 美工 美术 美术编辑 美术馆 美编 艺 艺坛 艺廊 艺术 艺术史 艺术品 艺术学院 艺术片 艺术馆 艺校 花艺 蓺 颜艺
artaxerxes	亚达薛西
arteannuin	青蒿素
artem	米高扬
artemis	阿耳忒弥斯
artemisia	苦艾 菣 蔚 蘩
artemisinin	青蒿素
arterial	大动脉 干道 蜘蛛痣
arteries	脉 脉络
arteriosclerosis	动脉硬化
artery	动脉 血管
artful	刁 刁滑 巧诈 憸 毚
arthemisia	蒌
arthralgia	痹证
arthraxon	荩 菉
arthritis	关节炎
arthropod	节肢动物 节足动物
arthur	亚瑟 叔本华 威灵顿 庇古 阿瑟 阿瑟镇 韦利
artichoke	法国百合
article	专题 信条 冠形词 冠词 品 器物 文稿 文章 本文 条 短文 稿件 著作
articles	文辞 日用品 物品 用品 章程
articular	关节囊 关节腔 关节面
articulate	出口成章 善言辞 言谈林薮
articulation	口条
artifact	伪迹 道具
artifice	巧妙 心路
artificial	不自然 义 义肢 义齿 京 人为 人工 人工受孕 人工呼吸 人工岛 人工授精 人工智慧 人工智能 人工概念 人工湖 人工照亮 人造 人造卫星 人造天体 人造语言 人造革 假 假眼 假肢 做作 故作端庄 虚伪 起搏器 通用人工智能 造作 飞机杯 髯口
artillery	大炮 子母炮弹 火炮 炮兵 炮弹 炮战 炮手 炮火
artiodactyl	偶蹄
artiodactyla	偶蹄目 偶蹄类
artisan	工匠 锢漏锅
artist	涂家 画室 艺术家
artistic	意境 美观 艺能
artistry	伎
artium	文学士
artless	天真 没心眼
artocarpus	木菠萝 波罗蜜 面包果 面包树
arts	工艺 手工艺 文理 方术 美劳 艺术节
aruba	阿卢巴 阿鲁巴
arugula	芝麻菜
arun	阿荣旗
arunachal	阿鲁纳恰尔邦
arxan	阿尔山市
aryan	雅利安
as	一 一如往常 一如所料 一如既往 一望无际 一眼望去 一经 一路货色 万不得已 不下于 不出所料 不啻 不巧 不拉叽 不管白猫黑猫，捉住老鼠就是好猫 不约而同 不费吹灰之力 临时 为 久而久之 乐不可支 也 事到如今 事实上 于是 亲如手足 仍然 从速 以儆效尤 以及 任便 仿似 仿佛 仿如 众所周知 伣 似乎 似地 但凡 作为 例行 依我来看 依旧 依然 俗话说 偏偏 冰炭不相容 冷若冰霜 凑巧 出水芙蓉 分当 判若云泥 到头来 力所能及 即早 及早 反正一样 发蒙 另行 同上 哑口 嘧 囊中取物 因此 因而 外带 外科医生 多达 大相径庭 天大 天差地别 天成 好像 如 如下 如其所好 如初 如同 如堕五里雾中 如堕烟雾 如实 如常 如意 如故 如期 如臂使指 如获至宝 如释重负 如题 安如泰山 安如磐石 完好如初 宛 宛然 实际上 对于 对我来说 尚未解决 就 尽先 尽可能 尽善尽美 尽快 尽情 尽早 尽速 尽量 岁月流逝 巧 常言说得好 应运 当然 恍如隔世 恍若 恰好 恰巧 情同手足 情同骨肉 想当然尔 意料之中 成群结队 截止到 截止至 所以 所指 才不 打早 拼命 据我所知 探囊取物 放眼望去 敢情 整体 既是 既然 早在 早早儿 春风得意 暨 有其师，必有其徒 有目共赏 有道是 未决 未处理 未解决 来讲 极目远望 果然 果真 此时此地 此际 泰山鸿毛 泾渭分明 涣然 清新自然 滚圆 漫天 漫天遍地 漫天遍野 照 照例 照常 照旧 照样 犹 理所当然 甫一 由于 由着 病邪 皆大欢喜 目今 目光所及 相机 着魔 稳便 稳如泰山 空空如也 纵目 结果 老小老小 而 而言 联袂 自 至于 至若 若 若无其事 若有所失 要说 言而有信 讲 论理 语云 说到 说起 账载 赶早 趁早 足 足足 身为 身轻如燕 载 迄 还 这不 适值 道高一尺，魔高一丈 遵医嘱 酩酊大醉 醉生梦死 随你 随便 随意 集体 顺坦 顺手 顾名思义 骨瘦如柴 麻生 麻生太郎 龟速
asa	亚撒
asahi	朝日 朝日新闻
asakusa	浅草
asanga	无着
asarum	杜蘅 杜衡 莘 蘅 蘅芜
asbestos	火浣布 石棉 石棉瓦 石绵
ascariasis	蛔虫病
ascarid	蛔虫
ascaris	蛔 蛔虫
ascending	升序 升结肠
ascension	耶稣升天节 阿松森岛 阿森松岛
ascetic	清心寡欲 苦行 苦行僧
asceticism	戒行 禁欲 禁欲主义
ascidiacea	海鞘
ascii	美国资讯交换标准码
ascites	腹水
ascitic	腹水
ascomycete	子囊菌
ascorbic	抗坏血酸
asean	东协 东南亚国协 东南亚国家联盟 东盟 亚细安
aseptic	无菌 无菌性
asexual	无性 无性繁殖
ash	圣灰瞻礼日 圣灰节 灰 灰白色 灰色 纸灰 苍苍
ashamed	㥏 僯 怍 恧 恶 惭 惭愧 愧 愧怍 愧恨 愧悔无地 愧色 懅 无地自容 没有脸皮 没脸 羞 羞惭 羞愤 羞愧 臊眉耷眼 自愧不如
ashbin	废物箱
ashcolored	灰白
ashen	铁青
ashenfaced	面如土色 面如灰土 面无人色 面色如土
ashes	佛舍利 灰烬 炉渣 烬
ashgabat	阿什哈巴德 阿什哈巴特
ashgray	苍
ashi	阿是穴
ashikaga	足利 足利义政 足利义满 足利义稙
ashina	阿史那骨咄禄
ashoka	阿育王
ashore	岸上
ashtray	烟灰缸 烟缸
ashy	灰卷尾 灰山椒鸟 灰林鸽 灰燕鵙 灰短脚鹎
ashyheaded	灰头绿鸠
ashythroated	灰喉柳莺 灰喉鸦雀
asia	亚 亚太区 亚洲 亚细亚 亚细亚洲 亚非拉 安纳托利亚 小亚细亚
asian	亚 亚冬会 亚太区 亚投行 亚洲开发银行 亚洲杯 亚洲梨 亚洲漠地林莺 亚洲短趾百灵 亚洲足球联合会 亚足联 亚运 亚运会 半蹼鹬 和平鸟 噪鹃 大虎头蜂 斑头鸺鹠 棕雨燕 椰子猫 水梨 沙梨 烟腹毛脚燕 白颈鹳 短尾莺 砂梨 粉红腹岭雀 绿喉蜂虎 翠金鹃 艾草 苹果梨 钳嘴鹳 黄鳝
asiana	韩亚航空
asianpacific	亚太经济合作组织
asiapacific	亚太 亚太地区
asiatic	黑熊
asiaweek	亚洲周刊
asics	亚瑟士
aside	一旁 旁白
asif	扎尔达里
ask	城门失火，殃及池鱼
askance	横眼
askew	㖞 歪 歪斜 歪歪扭扭
askim	阿希姆
asking	索价
aslan	阿斯兰
asleep	熟睡
asmara	阿斯马拉
asparagaceae	天门冬科
asparagine	天冬酰胺
asparagus	天门冬 石刁柏 芦笋 龙须菜
aspartame	天冬苯丙二肽酯 阿斯巴特 阿斯巴甜
aspartic	天冬氨酸
aspect	一块 体 侧面 动态助词 处 头 局面 层面 展弦比 方面 星象 着 端 身份 面 面向
aspergillus	曲霉毒素 米麴菌 黄曲霉 黄曲霉菌
asphalt	柏油 柏油路 柏油马路 沥青
aspic	冻 肉冻
aspirated	吐气 有气音
aspiration	心声 心志 心愿 心气 心胸 志 志向 志愿 念想 意愿 抱负 职志 胸襟 送气
aspirator	吸气器
aspirin	阿司匹林 阿斯匹林 阿斯匹灵
ass	驴子
assad	阿萨德
assam	金翅噪鹛 阿萨姆
assamese	熊猴
assassin	凶手 刺客
assassination	凶杀
assault	冲锋 殴打罪 突击 突击步枪 越障 进攻
assaults	扑面 扑面而来
assay	试金
assembl	国民议会
assemblage	群英
assemble	萃
assembled	七拼八凑 合成语音
assembly	会堂 汇编语言 流水线 生产线 礼堂 组件 组装厂 装配员 装配工厂 装配线 讲习会 集会
assen	阿森
assertion	主张 断言
assertive	霸气
assertiveness	斗争性
assessment	估算 评估 评鉴
asset	利基 本钱 资产剥离 资产组合
assetbacked	资产担保证券
assets	老本 财产 资产 资财
asshat	杂碎
asshole	烂人
assiduous	兢兢业业 刻意求工 刻苦 刻苦耐劳 勤勤恳恳 勤恳 勤苦 孜孜 孜孜不倦 崭劲 百般巴结 谆谆
assiduously	矻矻
assigned	专职 对号座
assignment	任务 功课 差事 指派 职掌 赋值
assimilation	合成代谢 同化 同化作用
assist	帮办 翊 胥
assistance	助力 将伯之助 帮助 扶贫 援助 援手 救助
assistant	专员 二手 从 佐 佴 制片 副 副主任 副手 副理 副经理 副部长 助手 助理 协理 协管员 厨工 壁助 帮手 羽翼 襄理
assistive	辅具
associate	伴 副教授 合伙人 联席董事 近人
associated	伴生气 美国联合通讯社 美联社 附设
association	交往 交谊 会 党 加勒比国家联盟 学会 民间组织 海协会 瓜葛 社团 组合 联谊会
associative	结合律 联想学习
associativity	可结合性
assorted	什 什锦
assortment	什锦 杂拌
assumed	化名 号 蘅塘退士
assuming	非份 非分
assumption	假定 圣母升天节 臆断
assurance	把握
assuredly	固 管保 肯定
astana	阿斯塔纳
astatine	砈 砹
aster	紫菀 阿尔泰紫菀
asteraceae	菊科
asterisk	星号
asterism	星群
asteroid	小行星 小行星带
asthenia	虚损
asthenosphere	岩流圈 软流圈 软流层
asthma	哮喘 哮喘病 喘 气喘 气喘病 痚
